Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
86,Exit long,2026-03-27 10:47,ST Flip,2.25,606,999.9,361.24,36.09,750.44,74.98,-91.9,-9.18,-3592.98,-79.84
86,Entry long,2026-03-27 08:35,Long,1.65,606,999.9,361.24,36.09,750.44,74.98,-91.9,-9.18,-3592.98,-79.84
87,Exit long,2026-03-27 11:01,Stop,2.39,381,998.22,-89.54,-8.96,67.58,6.76,-100.06,-10.01,-3682.52,-81.83
87,Entry long,2026-03-27 10:53,Long,2.62,381,998.22,-89.54,-8.96,67.58,6.76,-100.06,-10.01,-3682.52,-81.83
88,Exit long,2026-03-27 12:02,Stop,1.71,534,998.58,-87.35,-8.74,0,0.00,-97.12,-9.72,-3769.88,-83.78
88,Entry long,2026-03-27 11:52,Long,1.87,534,998.58,-87.35,-8.74,0,0.00,-97.12,-9.72,-3769.88,-83.78
89,Exit long,2026-03-27 13:43,ST Flip,2.22,574,993.02,278.99,28.07,515.61,51.87,-29.69,-2.99,-3490.88,-77.58
89,Entry long,2026-03-27 12:30,Long,1.73,574,993.02,278.99,28.07,515.61,51.87,-29.69,-2.99,-3490.88,-77.58
90,Exit long,2026-03-27 14:34,Stop,1.22,403,999.44,-509.27,-50.90,71.54,7.15,-508.78,-50.86,-4000.15,-88.89
90,Entry long,2026-03-27 14:02,Long,2.48,403,999.44,-509.27,-50.90,71.54,7.15,-508.78,-50.86,-4000.15,-88.89
91,Exit long,2026-03-27 15:41,Open,0.76,1250,987.5,-39.44,-3.99,0,0.00,-50.99,-5.16,-4040.58,-89.79
91,Entry long,2026-03-27 15:40,Long,0.79,1250,987.5,-39.44,-3.99,0,0.00,-50.99,-5.16,-4040.58,-89.79
